For each nBits calculate their wOffset stats:
nBits count min median mean mode stdev skew kurtosis pvariance variance max mad cv medad stderr
230 671 -3680 -3591 -3541.11 -3676 153.63 2.72 12.4 23565.47 23601 -2330 107.21 -4.34 63 5.93
231 671 -3696 -3479 -3361.8 -3653 359.68 2.05 5.83 129175.75 129369 -961 263.61 -10.7 160 13.89
232 671 -3712 -3612 -3564.52 -3672 158.47 2.9 14.0 25076.2 25114 -2182 107.72 -4.45 67 6.12
233 671 -3728 -3468 -3343.71 -3611 393.67 1.84 3.98 154748.29 154979 -1387 292.42 -11.77 184 15.2
234 671 -3744 -3642 -3602.77 -3737 147.58 2.1 6.05 21748.61 21781 -2737 106.11 -4.1 70 5.7
235 671 -3760 -3475 -3361.64 -3738 383.47 1.84 5.13 146831.89 147051 -647 284.63 -11.41 189 14.8
236 671 -3776 -3661 -3612.7 -3757 168.65 2.17 6.72 28402.09 28444 -2581 122.09 -4.67 84 6.51
237 671 -3792 -3392 -3112.29 -3702 865.94 2.84 10.51 748741.33 749859 2635 571.18 -27.82 291 33.43
238 671 -3808 -3288 -3037.28 -3370 804.74 1.98 5.26 646640.65 647606 1433 590.27 -26.5 390 31.07
239 671 -3824 -3412 -3179.03 -3716 657.85 1.62 2.7 432116.38 432761 -245 499.56 -20.69 301 25.4
240 671 -3840 -3388 -3183.35 -3739 691.52 2.02 5.65 477482.13 478195 993 506.34 -21.72 345 26.7
241 671 -3856 -3475 -3282.89 -3855 597.0 1.8 3.89 355880.55 356412 84 447.23 -18.19 281 23.05
242 671 -3872 -3383 -3166.86 -3805 720.81 2.33 10.0 518797.11 519571 2631 530.56 -22.76 367 27.83
243 671 -3887 -3481 -3319.55 -3136 546.35 1.73 4.12 298051.24 298496 -431 411.08 -16.46 289 21.09
244 671 -3902 -3400 -3147.34 -3278 795.75 2.04 5.39 632277.19 633221 1385 576.78 -25.28 362 30.72
245 671 -3920 -3516 -3317.93 -3863 645.89 2.11 6.86 416555.98 417178 1477 470.94 -19.47 305 24.93
246 671 -3936 -3459 -3258.05 -3817 665.82 1.86 4.72 442649.01 443310 606 496.08 -20.44 323 25.7
247 671 -3950 -3553 -3390.1 -3890 536.02 1.92 5.69 286887.93 287316 -23 401.22 -15.81 277 20.69
248 671 -3968 -3491 -3240.96 -3968 778.49 2.29 7.74 605149.41 606053 1713 556.5 -24.02 338 30.05
