nBits,count,min,median,mean,mode,stdev,skew,kurtosis,pvariance,variance,max,mad,cv,medad,stderr
230,672,-3680,-3590.5,-3532.31,-3676,275.04,15.22,316.03,75536.8,75649.37,2375,118.71,-7.79,63.5,10.61
231,672,-3696,-3479.5,-3362.11,-3653,359.5,2.05,5.84,129046.09,129238.41,-961,263.43,-10.69,159.5,13.87
232,672,-3712,-3611.5,-3564.44,-3672,158.37,2.9,14.01,25043.64,25080.96,-2182,107.66,-4.44,67.0,6.11
233,672,-3728,-3469.5,-3344.1,-3611,393.51,1.84,3.99,154621.8,154852.24,-1387,292.27,-11.77,183.5,15.18
234,672,-3744,-3642.0,-3602.76,-3737,147.47,2.1,6.06,21716.25,21748.62,-2737,105.95,-4.09,70.0,5.69
235,672,-3760,-3477.0,-3361.88,-3738,383.24,1.85,5.14,146652.07,146870.63,-647,284.39,-11.4,189.0,14.78
236,672,-3776,-3661.0,-3612.71,-3757,168.53,2.17,6.74,28359.89,28402.15,-2581,121.91,-4.66,84.0,6.5
237,672,-3792,-3392.5,-3112.8,-3702,865.4,2.84,10.53,747803.69,748918.16,2635,570.64,-27.8,290.0,33.38
238,672,-3808,-3288.0,-3035.39,-3370,805.63,1.97,5.2,648076.04,649041.87,1433,591.78,-26.54,392.0,31.08
239,672,-3824,-3414.0,-3179.61,-3716,657.53,1.63,2.7,431700.48,432343.85,-245,499.22,-20.68,302.0,25.36
240,672,-3840,-3390.0,-3184.24,-3739,691.39,2.02,5.66,477304.11,478015.44,993,506.21,-21.71,345.5,26.67
241,672,-3856,-3474.0,-3282.97,-3855,596.56,1.81,3.9,355356.34,355885.93,84,446.62,-18.17,281.0,23.01
242,672,-3872,-3383.5,-3167.4,-3805,720.41,2.33,10.02,518222.11,518994.43,2631,530.19,-22.74,366.0,27.79
243,672,-3887,-3480.5,-3319.0,-3136,546.13,1.73,4.11,297816.16,298260.0,-431,411.16,-16.45,290.0,21.07
244,672,-3902,-3400.5,-3148.02,-3278,795.35,2.04,5.41,631639.41,632580.75,1385,576.4,-25.27,361.0,30.68
245,672,-3920,-3517.0,-3318.26,-3863,645.47,2.12,6.88,416010.04,416630.03,1477,470.48,-19.45,303.5,24.9
246,672,-3936,-3460.0,-3258.93,-3817,665.71,1.86,4.73,442505.7,443165.17,606,496.0,-20.43,322.5,25.68
247,672,-3950,-3551.0,-3389.86,-3890,535.65,1.92,5.69,286499.09,286926.07,-23,400.92,-15.8,277.0,20.66
248,672,-3968,-3490.5,-3240.18,-3968,778.18,2.29,7.73,604659.94,605561.07,1713,556.67,-24.02,339.5,30.02
249,672,-3982,-3457.0,-2912.98,-3937,1496.64,2.54,6.52,2236589.96,2239923.18,3979,976.55,-51.38,402.0,57.73
250,672,-4000,-3017.5,-1996.79,-3841,2251.92,1.28,0.35,5063602.99,5071149.34,3959,1806.26,-112.78,795.0,86.87
251,672,-4014,-631.0,-411.31,-3894,2452.09,0.17,-1.3,6003806.76,6012754.31,3971,2150.95,-596.16,2235.0,94.59
252,672,-4031,-64.5,-15.28,1897,2311.01,0.02,-1.13,5332827.02,5340774.6,4023,1974.07,-15124.66,2046.5,89.15
253,672,-4034,-49.0,-65.26,1339,2426.25,-0.01,-1.24,5877918.67,5886678.61,4043,2095.2,-3717.54,2138.5,93.59
254,672,-4023,-156.0,-49.64,3182,2382.61,0.04,-1.22,5668396.76,5676844.45,4063,2074.34,-4799.65,2044.5,91.91
255,672,-4070,10.0,-100.13,10,2350.76,0.03,-1.15,5517867.62,5526090.97,4049,2002.48,-2347.72,1977.0,90.68
256,672,-4093,76.0,54.51,-3782,2304.2,-0.06,-1.14,5301423.69,5309324.47,4088,1966.11,4227.08,1967.0,88.89
257,672,-4111,193.0,103.5,-1916,2399.84,-0.07,-1.21,5750642.38,5759212.64,4097,2086.95,2318.62,2080.0,92.58
258,672,-4128,98.0,-18.96,3498,2337.75,-0.08,-1.12,5456931.15,5465063.69,4125,2003.05,-12332.91,1874.5,90.18
259,672,-4143,42.0,5.61,-3384,2363.29,-0.02,-1.21,5576811.84,5585123.03,4107,2049.83,42158.97,2082.0,91.17
260,672,-4158,270.0,143.43,-1303,2463.5,-0.08,-1.27,6059802.02,6068833.02,4143,2149.2,1717.54,2260.0,95.03
261,672,-4172,7.0,-16.76,-3190,2408.64,0.0,-1.2,5792918.33,5801551.59,4166,2085.88,-14368.46,2115.0,92.92
262,672,-4192,-512.5,-393.53,-2178,2598.96,0.17,-1.32,6744527.93,6754579.39,4191,2281.54,-660.43,2348.5,100.26
263,672,-4207,-690.5,-367.25,-4147,2580.85,0.16,-1.32,6650860.51,6660772.38,4207,2271.71,-702.76,2319.5,99.56
264,672,-4214,-781.5,-437.96,-607,2447.92,0.23,-1.12,5983386.62,5992303.74,4219,2109.27,-558.94,2079.0,94.43
265,672,-4234,-899.0,-655.69,-2858,2486.45,0.29,-1.13,6173235.74,6182435.79,4217,2152.75,-379.21,2095.0,95.92
266,672,-4251,-626.0,-420.06,3341,2579.86,0.21,-1.23,6645767.97,6655672.25,4251,2247.94,-614.16,2245.0,99.52
267,672,-4272,-1026.0,-675.27,639,2559.78,0.35,-1.14,6542734.75,6552485.47,4265,2221.69,-379.07,2186.5,98.75
268,672,-4281,-1352.5,-702.91,-4048,2647.8,0.39,-1.21,7000430.78,7010863.61,4266,2326.13,-376.69,2072.5,102.14
269,672,-4292,-664.5,-455.45,-2264,2531.59,0.21,-1.19,6399413.89,6408951.02,4303,2193.03,-555.84,2275.5,97.66
270,672,-4311,-1044.0,-679.84,-3159,2539.38,0.33,-1.13,6438873.25,6448469.19,4315,2199.3,-373.52,2113.0,97.96
271,672,-4334,-921.0,-661.32,-4172,2520.35,0.3,-1.14,6342695.63,6352148.23,4324,2176.09,-381.11,2135.0,97.22
272,672,-4349,-595.5,-465.9,-3051,2543.52,0.22,-1.18,6459861.85,6469489.07,4338,2204.11,-545.93,2180.0,98.12
273,672,-4362,-881.5,-631.89,-1361,2599.86,0.3,-1.16,6749210.62,6759269.05,4355,2247.87,-411.44,2190.0,100.29
274,672,-4374,-853.5,-552.26,-2042,2703.83,0.24,-1.29,7299833.31,7310712.35,4343,2378.62,-489.59,2392.5,104.3
275,672,-4400,-908.5,-518.77,-3153,2684.81,0.26,-1.25,7197480.62,7208207.12,4389,2349.24,-517.54,2315.5,103.57
276,672,-4413,-915.5,-587.39,2511,2615.83,0.25,-1.24,6832407.23,6842589.66,4414,2299.63,-445.33,2307.0,100.91
277,672,-4418,-687.0,-433.38,1806,2655.22,0.21,-1.21,7039690.64,7050181.98,4430,2308.91,-612.68,2343.0,102.43
278,672,-4447,-810.0,-508.17,-1324,2677.95,0.28,-1.19,7160723.66,7171395.38,4427,2319.62,-526.98,2225.5,103.3
279,672,-4453,-351.0,-181.15,-1119,2627.82,0.1,-1.2,6895173.64,6905449.6,4460,2271.73,-1450.67,2297.0,101.37
280,672,-4471,-1105.0,-679.81,-4316,2703.54,0.32,-1.18,7298229.16,7309105.8,4471,2350.35,-397.69,2263.0,104.29
281,672,-4495,-870.0,-704.93,-4258,2609.74,0.26,-1.15,6800583.81,6810718.8,4485,2265.91,-370.21,2324.5,100.67
282,672,-4509,-135.5,-183.76,-2733,2689.06,0.03,-1.24,7220309.98,7231070.5,4510,2336.64,-1463.33,2396.0,103.73
283,672,-4526,-745.0,-487.35,-1630,2658.44,0.23,-1.17,7056800.94,7067317.78,4484,2298.51,-545.49,2295.5,102.55
284,672,-4540,-558.5,-385.85,3658,2749.36,0.18,-1.24,7547714.89,7558963.34,4543,2397.23,-712.54,2480.5,106.06
285,672,-4547,-88.5,-125.89,-4450,2706.4,0.04,-1.27,7313677.31,7324576.98,4544,2351.61,-2149.81,2460.0,104.4
286,672,-4570,-385.5,-326.46,-3566,2656.97,0.09,-1.19,7048958.51,7059463.66,4557,2305.79,-813.88,2318.5,102.49
287,4032,-4590,-167.0,-99.46,-3830,2629.22,0.05,-1.18,6911084.51,6912799.0,4591,2268.42,-2643.49,2258.5,41.41
288,2016,-4604,-394.0,-219.96,-902,2656.43,0.11,-1.17,7053130.69,7056631.0,4605,2301.11,-1207.67,2235.0,59.16
289,2016,-4622,-279.5,-141.86,-1775,2657.06,0.08,-1.19,7056453.16,7059955.13,4621,2302.59,-1872.97,2268.5,59.18
290,672,-4634,-74.0,-66.39,-1057,2670.27,-0.01,-1.19,7119731.62,7130342.25,4621,2312.74,-4022.19,2317.5,103.01
291,672,-4642,124.0,-17.15,-3855,2710.56,-0.0,-1.22,7336197.3,7347130.53,4654,2341.98,-15800.62,2384.5,104.56
292,672,-4670,-7.0,-17.77,-1605,2701.83,-0.02,-1.22,7288996.1,7299858.99,4669,2336.03,-15202.43,2433.0,104.23
293,672,-4682,-83.5,-82.09,-3568,2764.75,0.01,-1.26,7632470.96,7643845.73,4682,2416.88,-3367.8,2444.5,106.65
294,672,-4693,230.0,187.95,-2386,2674.28,-0.06,-1.17,7141131.98,7151774.5,4673,2295.75,1422.86,2306.0,103.16
295,672,-4720,-197.0,33.98,-2759,2754.12,0.06,-1.25,7573915.91,7585203.42,4719,2408.17,8105.69,2454.5,106.24
296,672,-4729,323.5,191.01,343,2740.08,-0.11,-1.2,7496867.07,7508039.75,4719,2367.56,1434.55,2346.5,105.7
297,672,-4747,-277.5,-186.55,4307,2704.02,0.04,-1.17,7300844.11,7311724.65,4746,2321.71,-1449.52,2321.0,104.31
298,672,-4755,1.0,-25.2,-2471,2741.34,-0.03,-1.21,7503777.01,7514959.99,4755,2374.36,-10877.32,2354.0,105.75
